set,lens,layer,hits,n,rate,ci_lo,ci_hi
multilingual,released-R,26,41,190,0.21578947368421053,0.1632382144161695,0.2796054339083027
multilingual,released-R,27,39,190,0.20526315789473684,0.15394683802168074,0.26826138987036446
multilingual,released-R,28,39,190,0.20526315789473684,0.15394683802168074,0.26826138987036446
multilingual,released-R,29,37,190,0.19473684210526315,0.1447126016882911,0.2568602057713272
multilingual,released-R,30,38,190,0.2,0.14932237639446422,0.2625681412813676
multilingual,released-R,31,36,190,0.18947368421052632,0.14011794973420758,0.25113714750919724
multilingual,released-R,32,34,190,0.17894736842105263,0.1309759110912646,0.23964376571971324
multilingual,released-R,33,37,190,0.19473684210526315,0.1447126016882911,0.2568602057713272
multilingual,released-R,34,37,190,0.19473684210526315,0.1447126016882911,0.2568602057713272
multilingual,released-R,35,44,190,0.23157894736842105,0.17727600630192114,0.2965207726711915
multilingual,released-R,36,49,190,0.2578947368421053,0.20092051261227,0.3244648174419101
multilingual,released-R,37,49,190,0.2578947368421053,0.20092051261227,0.3244648174419101
multilingual,released-R,38,52,190,0.2736842105263158,0.21524493484291832,0.34109352585990216
multilingual,released-R,39,54,190,0.28421052631578947,0.22484839169098586,0.35212548944426153
multilingual,released-R,40,52,190,0.2736842105263158,0.21524493484291832,0.34109352585990216
multilingual,released-R,41,50,190,0.2631578947368421,0.20568429111823772,0.3300187491521558
multilingual,released-R,42,49,190,0.2578947368421053,0.20092051261227,0.3244648174419101
multilingual,released-R,43,53,190,0.2789473684210526,0.2200414042608183,0.34661476665821556
multilingual,released-R,44,51,190,0.26842105263157895,0.21045916624294025,0.33556158424366667
multilingual,released-R,45,46,190,0.24210526315789474,0.18669796052669493,0.30773423887884455
multilingual,released-R,46,42,190,0.22105263157894736,0.16790438661148954,0.2852569719291961
multilingual,released-R,47,39,190,0.20526315789473684,0.15394683802168074,0.26826138987036446
multilingual,released-R,48,46,190,0.24210526315789474,0.18669796052669493,0.30773423887884455
multilingual,released-R,49,39,190,0.20526315789473684,0.15394683802168074,0.26826138987036446
multilingual,released-R,50,34,190,0.17894736842105263,0.1309759110912646,0.23964376571971324
multilingual,released-R,51,59,190,0.3105263157894737,0.24903532088011365,0.37952711133620115
multilingual,released-R,52,58,190,0.30526315789473685,0.24417817890676133,0.37406654309334
multilingual,released-R,53,55,190,0.2894736842105263,0.22966572359718762,0.3576258677542733
multilingual,released-R,54,53,190,0.2789473684210526,0.2200414042608183,0.34661476665821556
multilingual,released-R,55,55,190,0.2894736842105263,0.22966572359718762,0.3576258677542733
multilingual,released-R,56,61,190,0.32105263157894737,0.2587782725824612,0.3904195800662805
multilingual,released-R,57,52,190,0.2736842105263158,0.21524493484291832,0.34109352585990216
multilingual,released-R,58,51,190,0.26842105263157895,0.21045916624294025,0.33556158424366667
multilingual,released-R,59,54,190,0.28421052631578947,0.22484839169098586,0.35212548944426153
multilingual,released-R,60,46,190,0.24210526315789474,0.18669796052669493,0.30773423887884455
multilingual,released-R,61,38,190,0.2,0.14932237639446422,0.2625681412813676
multilingual,released-R,62,17,190,0.08947368421052632,0.056613135717573884,0.13860546741777485
poetry,control,0,0,98,0.0,0.0,0.037719990121680605
poetry,control,1,0,98,0.0,0.0,0.037719990121680605
poetry,control,2,0,98,0.0,0.0,0.037719990121680605
poetry,control,3,0,98,0.0,0.0,0.037719990121680605
poetry,control,4,0,98,0.0,0.0,0.037719990121680605
poetry,control,5,0,98,0.0,0.0,0.037719990121680605
poetry,control,6,0,98,0.0,0.0,0.037719990121680605
poetry,control,7,0,98,0.0,0.0,0.037719990121680605
poetry,control,8,0,98,0.0,0.0,0.037719990121680605
poetry,control,9,0,98,0.0,0.0,0.037719990121680605
poetry,control,10,0,98,0.0,0.0,0.037719990121680605
poetry,control,11,0,98,0.0,0.0,0.037719990121680605
poetry,control,12,0,98,0.0,0.0,0.037719990121680605
poetry,control,13,0,98,0.0,0.0,0.037719990121680605
poetry,control,14,0,98,0.0,0.0,0.037719990121680605
poetry,control,15,0,98,0.0,0.0,0.037719990121680605
poetry,control,16,0,98,0.0,0.0,0.037719990121680605
poetry,control,17,0,98,0.0,0.0,0.037719990121680605
poetry,control,18,0,98,0.0,0.0,0.037719990121680605
poetry,control,19,0,98,0.0,0.0,0.037719990121680605
poetry,control,20,0,98,0.0,0.0,0.037719990121680605
poetry,control,21,0,98,0.0,0.0,0.037719990121680605
poetry,control,22,0,98,0.0,0.0,0.037719990121680605
poetry,control,23,0,98,0.0,0.0,0.037719990121680605
poetry,control,24,0,98,0.0,0.0,0.037719990121680605
poetry,control,25,0,98,0.0,0.0,0.037719990121680605
poetry,control,26,0,98,0.0,0.0,0.037719990121680605
poetry,control,27,0,98,0.0,0.0,0.037719990121680605
poetry,control,28,0,98,0.0,0.0,0.037719990121680605
poetry,control,29,0,98,0.0,0.0,0.037719990121680605
poetry,control,30,0,98,0.0,0.0,0.037719990121680605
poetry,control,31,0,98,0.0,0.0,0.037719990121680605
poetry,control,32,0,98,0.0,0.0,0.037719990121680605
poetry,control,33,0,98,0.0,0.0,0.037719990121680605
poetry,control,34,0,98,0.0,0.0,0.037719990121680605
poetry,control,35,0,98,0.0,0.0,0.037719990121680605
poetry,control,36,0,98,0.0,0.0,0.037719990121680605
poetry,control,37,0,98,0.0,0.0,0.037719990121680605
