set,multihop,multihop,multihop,multihop,multilingual,multilingual,multilingual,multilingual,association,association,association,association,typo,typo,typo,typo,poetry,poetry,poetry,poetry
lens,logit,released-J,released-R,control,logit,released-J,released-R,control,logit,released-J,released-R,control,logit,released-J,released-R,control,logit,released-J,released-R,control
layer,,,,,,,,,,,,,,,,,,,,
39,0.5952380952380952,0.30952380952380953,0.47619047619047616,0.0,0.2767857142857143,0.07589285714285714,0.25892857142857145,0.004464285714285714,0.28431372549019607,0.08823529411764706,0.21568627450980393,0.0,0.53125,0.22916666666666666,0.5520833333333334,0.0,0.2755102040816326,0.04081632653061224,0.16326530612244897,0.0
40,0.6428571428571429,0.2619047619047619,0.5,0.0,0.30357142857142855,0.07589285714285714,0.25892857142857145,0.0,0.29411764705882354,0.09803921568627451,0.20588235294117646,0.0,0.6041666666666666,0.3229166666666667,0.6041666666666666,0.0,0.2857142857142857,0.05102040816326531,0.1836734693877551,0.0
41,0.42857142857142855,0.23809523809523808,0.40476190476190477,0.0,0.29017857142857145,0.09375,0.2544642857142857,0.004464285714285714,0.29411764705882354,0.09803921568627451,0.18627450980392157,0.0,0.6354166666666666,0.375,0.59375,0.0,0.47959183673469385,0.16326530612244897,0.336734693877551,0.0
42,0.47619047619047616,0.3333333333333333,0.42857142857142855,0.0,0.29017857142857145,0.10267857142857142,0.25892857142857145,0.0,0.3235294117647059,0.11764705882352941,0.21568627450980393,0.0,0.625,0.3958333333333333,0.6145833333333334,0.0,0.41836734693877553,0.17346938775510204,0.3163265306122449,0.0
43,0.47619047619047616,0.3333333333333333,0.42857142857142855,0.0,0.2857142857142857,0.11607142857142858,0.2544642857142857,0.0,0.30392156862745096,0.11764705882352941,0.22549019607843138,0.0,0.53125,0.4375,0.59375,0.0,0.3877551020408163,0.15306122448979592,0.2857142857142857,0.0
44,0.5,0.3333333333333333,0.4523809523809524,0.0,0.28125,0.13392857142857142,0.2544642857142857,0.0,0.2647058823529412,0.13725490196078433,0.24509803921568626,0.0,0.5625,0.40625,0.59375,0.0,0.37755102040816324,0.15306122448979592,0.2857142857142857,0.01020408163265306
45,0.4523809523809524,0.2619047619047619,0.47619047619047616,0.0,0.24553571428571427,0.12946428571428573,0.21875,0.0,0.24509803921568626,0.14705882352941177,0.24509803921568626,0.0,0.4375,0.3645833333333333,0.5208333333333334,0.0,0.25510204081632654,0.08163265306122448,0.1836734693877551,0.0
46,0.35714285714285715,0.2619047619047619,0.38095238095238093,0.0,0.23660714285714285,0.16964285714285715,0.20535714285714285,0.0,0.2549019607843137,0.14705882352941177,0.23529411764705882,0.0,0.34375,0.2916666666666667,0.53125,0.0,0.17346938775510204,0.07142857142857142,0.14285714285714285,0.0
47,0.35714285714285715,0.30952380952380953,0.38095238095238093,0.0,0.24107142857142858,0.16517857142857142,0.20089285714285715,0.0,0.2647058823529412,0.17647058823529413,0.22549019607843138,0.0,0.3125,0.21875,0.375,0.0,0.16326530612244897,0.061224489795918366,0.12244897959183673,0.0
48,0.38095238095238093,0.2619047619047619,0.38095238095238093,0.0,0.22321428571428573,0.19196428571428573,0.21428571428571427,0.0,0.28431372549019607,0.16666666666666666,0.27450980392156865,0.0,0.28125,0.3333333333333333,0.53125,0.0,0.07142857142857142,0.05102040816326531,0.12244897959183673,0.0
