config,layer,cos_to_j,cos_to_r,cos_to_released_j,cos_to_released_r
half,16,0.9037618637084961,0.9847894906997681,0.90245121717453,0.9831751585006714
half,17,0.9137831330299377,0.9867740273475647,0.9123513698577881,0.9853226542472839
half,18,0.9291277527809143,0.9895837306976318,0.9283628463745117,0.9882500171661377
half,19,0.9448274970054626,0.9912577271461487,0.9436323642730713,0.9900437593460083
half,20,0.9560176730155945,0.9928397536277771,0.9548560976982117,0.9917850494384766
half,21,0.9637289047241211,0.9940927028656006,0.9626560807228088,0.9931316375732422
half,22,0.9721598625183105,0.996092677116394,0.9711108207702637,0.9953539967536926
half,23,0.978513777256012,0.9967445731163025,0.9777815341949463,0.9962170124053955
half,24,0.9823146462440491,0.997414231300354,0.9818191528320312,0.9970142841339111
half,25,0.9852038621902466,0.9978729486465454,0.9848899245262146,0.9975919127464294
half,26,0.9887471795082092,0.9984964728355408,0.9886006116867065,0.9983305335044861
half,27,0.9923086762428284,0.9993042349815369,0.9923037886619568,0.9992386698722839
half,28,0.9952349662780762,1.0002676248550415,0.9952210783958435,1.0002295970916748
half,29,0.9986270666122437,1.0014231204986572,0.9985826015472412,1.001395583152771
half,30,1.0,1.0,1.0,1.0
ln+identity,0,0.7066250443458557,0.6635228991508484,0.6930415034294128,0.6352055668830872
ln+identity,1,0.7185326814651489,0.69215327501297,0.7093712687492371,0.6644142270088196
ln+identity,2,0.756043016910553,0.7338464260101318,0.7643652558326721,0.7151503562927246
ln+identity,3,0.7961940765380859,0.7756720185279846,0.8096679449081421,0.7641525864601135
ln+identity,4,0.8319849967956543,0.7978297472000122,0.843144953250885,0.7927995920181274
ln+identity,5,0.8554282188415527,0.8049312233924866,0.859244167804718,0.8008946180343628
ln+identity,6,0.837144136428833,0.8020931482315063,0.8406359553337097,0.798973798751831
ln+identity,7,0.8521893620491028,0.8173815011978149,0.8550719618797302,0.8141138553619385
ln+identity,8,0.8671858310699463,0.8278471231460571,0.868550717830658,0.8246813416481018
ln+identity,9,0.8788941502571106,0.8410084247589111,0.8799048662185669,0.837877631187439
ln+identity,10,0.8954315185546875,0.8518492579460144,0.8956341743469238,0.8494352698326111
ln+identity,11,0.9033181071281433,0.862926185131073,0.9025009274482727,0.860672652721405
ln+identity,12,0.9045584201812744,0.867516815662384,0.9031417965888977,0.8654248118400574
ln+identity,13,0.9054135680198669,0.8722513914108276,0.9039137959480286,0.8702124953269958
ln+identity,14,0.9126031398773193,0.8785558938980103,0.9114282727241516,0.8768144845962524
ln+identity,15,0.9148374795913696,0.8862217664718628,0.9134702086448669,0.8846357464790344
ln+identity,16,0.9189004302024841,0.8909851312637329,0.9179645776748657,0.8899484276771545
ln+identity,17,0.9316564202308655,0.904296875,0.9303823709487915,0.9035232663154602
ln+identity,18,0.9503568410873413,0.9230990409851074,0.9490059018135071,0.9221233129501343
ln+identity,19,0.9596937894821167,0.9391860365867615,0.958449125289917,0.9385545253753662
ln+identity,20,0.9681817889213562,0.9514341950416565,0.9671604037284851,0.9510144591331482
ln+identity,21,0.9743463397026062,0.9596357345581055,0.9735129475593567,0.959312915802002
ln+identity,22,0.982937753200531,0.9680348038673401,0.9820157289505005,0.9676485657691956
ln+identity,23,0.985288679599762,0.9748219847679138,0.984441876411438,0.9743059873580933
ln+identity,24,0.9876957535743713,0.9791111350059509,0.9870215058326721,0.9786178469657898
ln+identity,25,0.9894938468933105,0.9824078679084778,0.9889826774597168,0.9819763898849487
ln+identity,26,0.9919474124908447,0.986423671245575,0.9915977120399475,0.9860507249832153
ln+identity,27,0.9938874244689941,0.9905532002449036,0.9936783313751221,0.9902572631835938
ln+identity,28,0.9962925910949707,0.9939205050468445,0.9961563348770142,0.9937254190444946
ln+identity,29,0.9992290139198303,0.997990071773529,0.9991636276245117,0.997913658618927
ln+identity,30,1.0,1.0,1.0,1.0
ln+half,0,0.6365991830825806,0.9640509486198425,0.6751937866210938,0.941337525844574
ln+half,1,0.6823921799659729,0.9736188054084778,0.7334800362586975,0.9543919563293457
