set,multihop,multihop,multihop,multihop,multihop,multihop,multihop,multihop,multihop,multihop,multilingual,multilingual,multilingual,multilingual,multilingual,multilingual,multilingual,multilingual,multilingual,multilingual,association,association,association,association,association,association,association,association,association,association,typo,typo,typo,typo,typo,typo,typo,typo,typo,typo,poetry,poetry,poetry,poetry,poetry,poetry,poetry,poetry,poetry,poetry
lens,logit,j,ln,identity,half,ln+identity,ln+half,identity+half,released-J,released-R,logit,j,ln,identity,half,ln+identity,ln+half,identity+half,released-J,released-R,logit,j,ln,identity,half,ln+identity,ln+half,identity+half,released-J,released-R,logit,j,ln,identity,half,ln+identity,ln+half,identity+half,released-J,released-R,logit,j,ln,identity,half,ln+identity,ln+half,identity+half,released-J,released-R
layer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.08947368421052632,0.11052631578947368,0.06315789473684211,0.11578947368421053,0.17894736842105263,0.06315789473684211,0.14210526315789473,0.1736842105263158,0.1736842105263158,0.19473684210526315,0.0,0.06862745098039216,0.00980392156862745,0.0784313725490196,0.06862745098039216,0.00980392156862745,0.049019607843137254,0.0784313725490196,0.0392156862745098,0.0392156862745098,0.14583333333333334,0.17708333333333334,0.11458333333333333,0.17708333333333334,0.20833333333333334,0.19791666666666666,0.19791666666666666,0.22916666666666666,0.15625,0.2708333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.02127659574468085,0.0,0.02127659574468085,0.02127659574468085,0.07894736842105263,0.11578947368421053,0.04736842105263158,0.11578947368421053,0.16842105263157894,0.05789473684210526,0.1368421052631579,0.16842105263157894,0.1736842105263158,0.2,0.0,0.058823529411764705,0.00980392156862745,0.08823529411764706,0.058823529411764705,0.00980392156862745,0.0392156862745098,0.0784313725490196,0.0392156862745098,0.049019607843137254,0.10416666666666667,0.14583333333333334,0.11458333333333333,0.15625,0.13541666666666666,0.14583333333333334,0.14583333333333334,0.15625,0.125,0.23958333333333334,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.02127659574468085,0.0,0.02127659574468085,0.02127659574468085,0.08421052631578947,0.10526315789473684,0.06315789473684211,0.1,0.15263157894736842,0.06315789473684211,0.1368421052631579,0.16842105263157894,0.16842105263157894,0.18947368421052632,0.0,0.0784313725490196,0.00980392156862745,0.06862745098039216,0.06862745098039216,0.00980392156862745,0.0196078431372549,0.06862745098039216,0.0392156862745098,0.0392156862745098,0.10416666666666667,0.125,0.11458333333333333,0.125,0.14583333333333334,0.16666666666666666,0.13541666666666666,0.15625,0.11458333333333333,0.17708333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.02127659574468085,0.0,0.02127659574468085,0.02127659574468085,0.07894736842105263,0.09473684210526316,0.06315789473684211,0.1,0.15263157894736842,0.06842105263157895,0.13157894736842105,0.16842105263157894,0.15263157894736842,0.17894736842105263,0.0,0.06862745098039216,0.00980392156862745,0.0784313725490196,0.0784313725490196,0.0196078431372549,0.0392156862745098,0.0784313725490196,0.0392156862745098,0.049019607843137254,0.09375,0.20833333333333334,0.17708333333333334,0.17708333333333334,0.17708333333333334,0.19791666666666666,0.22916666666666666,0.19791666666666666,0.13541666666666666,0.25,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.08421052631578947,0.09473684210526316,0.08421052631578947,0.1,0.15789473684210525,0.08947368421052632,0.14736842105263157,0.16842105263157894,0.15263157894736842,0.19473684210526315,0.0,0.058823529411764705,0.0196078431372549,0.06862745098039216,0.0784313725490196,0.0196078431372549,0.06862745098039216,0.0784313725490196,0.06862745098039216,0.058823529411764705,0.11458333333333333,0.21875,0.20833333333333334,0.20833333333333334,0.22916666666666666,0.23958333333333334,0.28125,0.2604166666666667,0.17708333333333334,0.3229166666666667,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0
34,0.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.06842105263157895,0.12631578947368421,0.07368421052631578,0.11052631578947368,0.15789473684210525,0.08421052631578947,0.16842105263157894,0.1736842105263158,0.15789473684210525,0.19473684210526315,0.0,0.0784313725490196,0.0784313725490196,0.0784313725490196,0.06862745098039216,0.0392156862745098,0.09803921568627451,0.06862745098039216,0.049019607843137254,0.0784313725490196,0.15625,0.3333333333333333,0.23958333333333334,0.23958333333333334,0.3333333333333333,0.2604166666666667,0.3333333333333333,0.375,0.23958333333333334,0.3854166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.02127659574468085,0.02127659574468085,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.0425531914893617,0.1368421052631579,0.12631578947368421,0.11052631578947368,0.12105263157894737,0.19473684210526315,0.1736842105263158,0.19473684210526315,0.21052631578947367,0.18947368421052632,0.23684210526315788,0.0,0.09803921568627451,0.058823529411764705,0.09803921568627451,0.0784313725490196,0.0392156862745098,0.06862745098039216,0.0784313725490196,0.058823529411764705,0.06862745098039216,0.22916666666666666,0.3645833333333333,0.3229166666666667,0.2916666666666667,0.4270833333333333,0.3229166666666667,0.3958333333333333,0.40625,0.2604166666666667,0.4270833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.0425531914893617,0.0425531914893617,0.06382978723404255,0.06382978723404255,0.0851063829787234,0.14210526315789473,0.2,0.15789473684210525,0.16842105263157894,0.23157894736842105,0.23157894736842105,0.23157894736842105,0.21578947368421053,0.21052631578947367,0.2578947368421053,0.0196078431372549,0.08823529411764706,0.0784313725490196,0.10784313725490197,0.08823529411764706,0.049019607843137254,0.09803921568627451,0.08823529411764706,0.058823529411764705,0.06862745098039216,0.3125,0.4479166666666667,0.4270833333333333,0.375,0.4895833333333333,0.4270833333333333,0.4895833333333333,0.4895833333333333,0.3229166666666667,0.4791666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.06382978723404255,0.0851063829787234,0.06382978723404255,0.0851063829787234,0.0425531914893617,0.0425531914893617,0.06382978723404255,0.0851063829787234,0.10638297872340426,0.15263157894736842,0.24210526315789474,0.2,0.23684210526315788,0.23684210526315788,0.2631578947368421,0.2578947368421053,0.23684210526315788,0.24210526315789474,0.2578947368421053,0.029411764705882353,0.08823529411764706,0.08823529411764706,0.09803921568627451,0.08823529411764706,0.058823529411764705,0.08823529411764706,0.10784313725490197,0.06862745098039216,0.0784313725490196,0.3333333333333333,0.5416666666666666,0.5208333333333334,0.4270833333333333,0.5729166666666666,0.5104166666666666,0.5625,0.5,0.4583333333333333,0.5729166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.0851063829787234,0.0425531914893617,0.0851063829787234,0.06382978723404255,0.0851063829787234,0.0851063829787234,0.13157894736842105,0.22105263157894736,0.20526315789473684,0.22631578947368422,0.22631578947368422,0.28421052631578947,0.23684210526315788,0.23684210526315788,0.24210526315789474,0.2736842105263158,0.0392156862745098,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.12745098039215685,0.09803921568627451,0.08823529411764706,0.09803921568627451,0.4375,0.625,0.625,0.5520833333333334,0.65625,0.65625,0.6458333333333334,0.625,0.6145833333333334,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
