config,layer,cos_to_j,cos_to_released_j,cos_to_released_r
ln+identity,8,0.24778738617897034,0.1591598093509674,0.15261901915073395
ln+identity,9,0.26165449619293213,0.1719367802143097,0.16339397430419922
ln+identity,10,0.30453014373779297,0.19261659681797028,0.18245035409927368
ln+identity,11,0.34258803725242615,0.20602592825889587,0.19380982220172882
ln+identity,12,0.3683287799358368,0.2192593812942505,0.2056509107351303
ln+identity,13,0.4075787663459778,0.23796656727790833,0.22329582273960114
ln+identity,14,0.46199312806129456,0.2681520879268646,0.2513676583766937
ln+identity,15,0.5411426424980164,0.30809879302978516,0.28915852308273315
ln+identity,16,0.5951390266418457,0.3621939718723297,0.34080761671066284
ln+identity,17,0.640617847442627,0.4050850570201874,0.3806435465812683
ln+identity,18,0.6385964751243591,0.3687366843223572,0.3575103282928467
ln+identity,19,0.6445711255073547,0.37198442220687866,0.3587830066680908
ln+identity,20,0.6516032218933105,0.39134061336517334,0.37714406847953796
ln+identity,21,0.6605156064033508,0.41110727190971375,0.3942975401878357
ln+identity,22,0.6612462401390076,0.41009658575057983,0.3951151669025421
ln+identity,23,0.6711426377296448,0.4273585081100464,0.41280409693717957
ln+identity,24,0.6822967529296875,0.44614458084106445,0.4310304522514343
ln+identity,25,0.6945614814758301,0.4703308343887329,0.4550582766532898
ln+identity,26,0.7065813541412354,0.49575725197792053,0.48020654916763306
ln+identity,27,0.7131013870239258,0.5072662830352783,0.4915398061275482
ln+identity,28,0.7177525758743286,0.5151366591453552,0.5003305077552795
ln+identity,29,0.7282857894897461,0.533470630645752,0.519794762134552
ln+identity,30,0.7383739352226257,0.549584150314331,0.5363728404045105
ln+identity,31,0.7475293874740601,0.5631992816925049,0.553023636341095
ln+identity,32,0.7529811859130859,0.5764358639717102,0.5688695907592773
ln+identity,33,0.7740369439125061,0.6093915104866028,0.6004788279533386
ln+identity,34,0.7865540385246277,0.6219140291213989,0.6135535836219788
ln+identity,35,0.7979912161827087,0.6411011219024658,0.6314684748649597
ln+identity,36,0.8048865795135498,0.6546505093574524,0.6437805891036987
ln+identity,37,0.8251912593841553,0.6873356103897095,0.6730210781097412
ln+identity,38,0.8358938097953796,0.7055620551109314,0.6908090710639954
ln+identity,39,0.8523378968238831,0.7339454293251038,0.7190188765525818
ln+identity,40,0.8795429468154907,0.777840793132782,0.7617514729499817
ln+identity,41,0.8976729512214661,0.8102070689201355,0.7943208813667297
ln+identity,42,0.9071958661079407,0.8274864554405212,0.8127145767211914
ln+identity,43,0.9188985824584961,0.8461743593215942,0.83165043592453
ln+identity,44,0.9298998117446899,0.8643428683280945,0.851996660232544
ln+identity,45,0.9352632761001587,0.8731774091720581,0.862684965133667
ln+identity,46,0.9465695023536682,0.8912092447280884,0.8824197053909302
ln+identity,47,0.9527652263641357,0.9013820886611938,0.8946149349212646
ln+identity,48,0.9602700471878052,0.9149049520492554,0.9105962514877319
ln+identity,49,0.9678518176078796,0.9276859760284424,0.9234802722930908
ln+identity,50,0.9772439002990723,0.943231999874115,0.9382371306419373
ln+identity,51,0.9828440546989441,0.9559150338172913,0.9541784524917603
ln+identity,52,0.9866892099380493,0.9648401737213135,0.9640378952026367
ln+identity,53,0.9890227913856506,0.9701504111289978,0.9698514938354492
ln+identity,54,0.9922217130661011,0.9750282764434814,0.9745948314666748
ln+identity,55,0.9937088489532471,0.9796315431594849,0.9800066947937012
ln+identity,56,0.9951050281524658,0.9843004941940308,0.9849605560302734
ln+identity,57,0.9963905215263367,0.9879838228225708,0.988818883895874
ln+identity,58,0.9982840418815613,0.9920019507408142,0.9926548004150391
ln+identity,59,1.0010706186294556,0.9975506067276001,0.998218297958374
ln+identity,60,1.0048648118972778,1.002506136894226,1.002718210220337
ln+identity,61,1.0083779096603394,1.006884217262268,1.0063581466674805
ln+identity,62,1.0,1.0,1.0
ln+half,0,0.483903169631958,0.48021501302719116,0.6580725312232971
ln+half,1,0.48730239272117615,0.502089262008667,0.6779900193214417
ln+half,2,0.5018219351768494,0.5288150310516357,0.7070217132568359
ln+half,3,0.5168275237083435,0.5506576895713806,0.7339698076248169
ln+half,4,0.5424138307571411,0.5775303244590759,0.754901111125946
ln+half,5,0.5633610486984253,0.5912852883338928,0.7681072354316711
ln+half,6,0.534268319606781,0.5791513323783875,0.7619317770004272
ln+half,7,0.5595547556877136,0.5940722227096558,0.7694675326347351
ln+half,8,0.5873164534568787,0.6096892952919006,0.7803831100463867
ln+half,9,0.6060134172439575,0.6237713098526001,0.7896085977554321
ln+half,10,0.6268200278282166,0.6367059946060181,0.7999247312545776
ln+half,11,0.6431906223297119,0.6455763578414917,0.8053025007247925
ln+half,12,0.6556298732757568,0.658543050289154,0.8159124851226807
ln+half,13,0.6739070415496826,0.6688604354858398,0.8216630220413208
ln+half,14,0.690418541431427,0.6797099709510803,0.8278592228889465
ln+half,15,0.7125234603881836,0.6946571469306946,0.8328409790992737
ln+half,16,0.709114134311676,0.6956509947776794,0.8487210273742676
ln+half,17,0.7192440629005432,0.7022227644920349,0.8583053946495056
ln+half,18,0.7194246053695679,0.727670431137085,0.8597336411476135
ln+half,19,0.7282705307006836,0.7230600714683533,0.8578887581825256
